,id,address,categories,city,latitude,longitude,name,postalCode,province,dateAdded_f,dateUpdated_f
5352,AVweJDbLIN2L1WUf2WGz,95 N Hamilton Rd,"Carry-out food,Mexican Restaurants,Mexican,Taco Place,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurants,Take Out Restaurants,Restaurants,Mexican Restaurant,Mexican Restaurant, Burrito Place, and Taco Place East Columbus,Mexican Restaurant, Burrito Place, and Taco Place,Burrito Place",Columbus,40.019649,-82.866786,Chipotle Mexican Grill,43230,OH,2015-11-02,2019-04-04
5536,AVwcjoQeIN2L1WUfmR-d,2070 Morse Rd,"American Restaurants,Restaurant,Greek Restaurant,Taverns,Greek Restaurants,Bar and Grills,Mediterranean Restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,Middle Eastern Restaurants",Columbus,40.060732,-82.964766,Gyro Express,43229,OH,2016-04-02,2019-04-03
5611,AVwcpwbEIN2L1WUfnZHF,4440 E Main St,"Carry-out food,Caterers,Restaurant delivery service,Chicken Wings,Food Delivery,American restaurants,Karaoke,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place,Barbecue,Pizza Place East Columbus,Catering",Columbus,39.9559,-82.88,Pizza Hut,43213,OH,2015-10-24,2019-04-01
5612,AVwctAxFkufWRAb5yHOO,4770 Saw Mill Rd,"Restaurant,Mexican Restaurants,Mexican,Breakfast,Vegetarian,Fast Food Restaurant,Fast Food Restaurants,Fast Food,Restaurants",Columbus,40.0663,-83.0926,Taco Bell,43235,OH,2016-06-14,2019-04-01
5624,AVwdgZgbIN2L1WUfwfWS,7190 Sawmill Rd,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,Hamburger restaurants,Fast Food,Fast Food Restaurants,Take Out Restaurants,Fast Food Restaurant and Burger Joint,Restaurant mgmt.,Restaurants,Frozen Yogurt Shops,Hamburgers & Hot Dogs,Restaurant,Burger Joint,Restaurant consultants,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers,Sandwich Shops",Columbus,40.1116,-83.0899,McDonald's,43235,OH,2016-06-20,2019-04-01
5625,AVwcySDtByjofQCxiKlC,363 S Hamilton Rd,"Carry-out food,Caterers,Tex-mex restaurants,Southwestern restaurants,Mexican restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,professional,Mexican Restaurant, Burrito Place, and Taco Place East Columbus,Restaurant,Family style restaurants,Mexican Restaurant, Burrito Place, and Taco Place,Catering",Columbus,40.0267,-82.8659,Moe's Southwest Grill,43230,OH,2016-05-09,2019-04-01
5653,AVzBAJxe-gnIPe8DSgk6,85 Worthington Mall,"Breakfast,Food Delivery,Bakery,Caf,Take Out Restaurants,Health Food Restaurants,Fast Food,Restaurants,Restaurant,American Restaurants,Coffee Shops,Traditional American,wich Place,Coffeehouses,Bakeries,Catering,Sandwich Shops",Columbus,40.1084,-83.0193,Panera Bread,43085,OH,2017-06-19,2019-04-01
5657,AVwclS1IIN2L1WUfml3y,5299 N Hamilton Rd,"Asian Restaurants,Chinese Restaurant,Restaurant,Chinese Restaurant and Asian Restaurant,Carry-out food,Chinese Restaurants,Asian Restaurant,Fast Food Restaurants,Take Out Restaurants,Restaurants",Columbus,40.0648,-82.8636,Panda Express,43230,OH,2016-06-20,2019-04-01
5820,AVwc_ON4kufWRAb51H-0,2040 N High St,"Restaurant,American Restaurants,Mexican Restaurants,Caterers,Take Out Restaurants,Fast Food Restaurants,Burrito Place, Mexican Restaurant, and Taco Place,Catering,Restaurants",Columbus,40.0038,-83.0088,Moe's Southwest Grill,43201,OH,2016-06-14,2019-04-01
5821,AVwelhiIIN2L1WUf6VPF,342 E Gay St,"Pizza,Restaurant,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Restaurants,Pizza Place Downtown Columbus",Columbus,39.9649,-82.9917,Domino's Pizza,43215,OH,2016-03-28,2019-04-01
5866,AV1goldw3-Khe5l_NhsD,1619 North High Street,"Breakfast,Bakery,Fast Food,Caf,Bagel Shops,Restaurants,Restaurant,Traditional American,wich Place,Coffeehouses,Bakeries,Catering,Sandwich Shops",Columbus,39.9951,-83.0074,Panera Bread,43201,OH,2017-07-20,2019-04-01
5867,AVwdbBwlIN2L1WUfvp1m,171 E Campus View Blvd,"Asian Restaurants,Chinese Restaurant,Restaurant,Caterers,Chinese Restaurants,Asian Restaurant,Restaurant Delivery Service,Fast Food Restaurants,Bistros,Restaurants,Asian Restaurant and Chinese Restaurant Crosswoods",Columbus,40.1178,-83.0104,H C Way Asian Bistro,43235,OH,2015-10-23,2019-04-01
5869,AV1gomzMRxPSIh2RaSB7,2441 Lockbourne Rd,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,Hamburger restaurants,Fast Food Restaurants,Take Out Restaurants,Fast Food,Restaurants,Frozen Yogurt Shops,Restaurant,Coffeehouses,Salads,Hamburgers and Hot Dogs,Hamburgers,Sandwich Shops",Columbus,39.9148,-82.9669,McDonald's,43207,OH,2017-07-20,2019-04-01
5873,AVwcu5LIkufWRAb5ybIx,2181 E Livingston Ave,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,wich Place,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",Columbus,39.9481,-82.9389,Subway,43209,OH,2016-03-28,2019-04-01
